#anno-id:11283
#text:커플.
0	커플.	커플.n	Personal_relationship	B-Partners

#anno-id:11284
#text:원래 이 주변 일대는, 시나가와의 스즈가모리와 함께 에도막부의 처형장(사형장.)으로, 고즈캇파라라 불렸습니다.
0	원래	_	_	O
1	이	_	_	O
2	주변	_	_	O
3	일대는,	_	_	O
4	시나가와의	_	_	O
5	스즈가모리와	_	_	O
6	함께	_	_	O
7	에도막부의	_	_	B-Container_possessor
8	처형장(사형장.)으로,	사형장.n	Locale_by_use	B-Locale
9	고즈캇파라라	_	_	O
10	불렸습니다.	_	_	O

#anno-id:11285
#text:원래 이 주변 일대는, 시나가와의 스즈가모리와 함께 에도막부의 처형장(사형장.)으로, 고즈캇파라라 불렸습니다.
0	원래	_	_	O
1	이	_	_	B-Figure
2	주변	주변.n	Locative_relation	O
3	일대는,	_	_	B-Ground
4	시나가와의	_	_	O
5	스즈가모리와	_	_	O
6	함께	_	_	O
7	에도막부의	_	_	O
8	처형장(사형장.)으로,	_	_	O
9	고즈캇파라라	_	_	O
10	불렸습니다.	_	_	O

#anno-id:11288
#text:엔젤도 보로도 집 안에서 하는 게임에는 질려버렸습니다.
0	엔젤도	_	_	B-Experiencer
1	보로도	_	_	I-Experiencer
2	집	_	_	B-Content
3	안에서	_	_	I-Content
4	하는	_	_	I-Content
5	게임에는	_	_	I-Content
6	질려버렸습니다.	질리다.v	Experiencer_focus	O

#anno-id:11292
#text:올바른 신을 믿는다면, 옳지 않은 신은 자연히 소멸해 버릴 것입니다.
0	올바른	_	_	O
1	신을	_	_	O
2	믿는다면,	_	_	O
3	옳지	_	_	O
4	않은	_	_	O
5	신은	_	_	O
6	자연히	_	_	B-Manner
7	소멸해	소멸하다.v	Ceasing_to_be	O
8	버릴	_	_	O
9	것입니다.	_	_	O

#anno-id:11294
#text:마을 사람들은, 신사를 참배하며, 「부디, 좋은 물을 주시옵소서」하고 소원을 빌었단다.
0	마을	_	_	B-Person
1	사람들은,	사람.n	People	I-Person
2	신사를	_	_	O
3	참배하며,	_	_	O
4	「부디,	_	_	O
5	좋은	_	_	O
6	물을	_	_	O
7	주시옵소서」하고	_	_	O
8	소원을	_	_	O
9	빌었단다.	_	_	O

#anno-id:11313
#text:시합은 주황 띠 이상의 여성 유도인을 대상으로 예선을 치뤄, 출장 선수를 16명으로 추린 후, 제1회전, 2회전, 준결승전이 열렸으며, 결국 애디슨 부인(파랑 띠)과 루바니에 부인(갈색 띠)이 결승전에서 대결하게 되었다.
0	시합은	_	_	B-Competition
1	주황	_	_	B-Participants
2	띠	_	_	I-Participants
3	이상의	_	_	I-Participants
4	여성	_	_	I-Participants
5	유도인을	유도인.n	Competition	I-Participants
6	대상으로	_	_	O
7	예선을	_	_	O
8	치뤄,	_	_	O
9	출장	_	_	O
10	선수를	_	_	O
11	16명으로	_	_	O
12	추린	_	_	O
13	후,	_	_	O
14	제1회전,	_	_	O
15	2회전,	_	_	O
16	준결승전이	_	_	O
17	열렸으며,	_	_	O
18	결국	_	_	O
19	애디슨	_	_	O
20	부인(파랑	_	_	O
21	띠)과	_	_	O
22	루바니에	_	_	O
23	부인(갈색	_	_	O
24	띠)이	_	_	O
25	결승전에서	_	_	O
26	대결하게	_	_	O
27	되었다.	_	_	O

#anno-id:11315
#text:시합은 주황 띠 이상의 여성 유도인을 대상으로 예선을 치뤄, 출장 선수를 16명으로 추린 후, 제1회전, 2회전, 준결승전이 열렸으며, 결국 애디슨 부인(파랑 띠)과 루바니에 부인(갈색 띠)이 결승전에서 대결하게 되었다.
0	시합은	_	_	O
1	주황	_	_	O
2	띠	_	_	O
3	이상의	_	_	O
4	여성	_	_	O
5	유도인을	_	_	O
6	대상으로	_	_	O
7	예선을	_	_	O
8	치뤄,	_	_	O
9	출장	_	_	O
10	선수를	_	_	O
11	16명으로	_	_	O
12	추린	_	_	O
13	후,	_	_	O
14	제1회전,	_	_	O
15	2회전,	_	_	O
16	준결승전이	_	_	O
17	열렸으며,	_	_	O
18	결국	_	_	O
19	애디슨	_	_	B-Participants
20	부인(파랑	_	_	I-Participants
21	띠)과	_	_	I-Participants
22	루바니에	_	_	I-Participants
23	부인(갈색	_	_	I-Participants
24	띠)이	_	_	I-Participants
25	결승전에서	결승전.n	Competition	B-Competition
26	대결하게	_	_	O
27	되었다.	_	_	O

#anno-id:11318
#text:히로오는 히로오대로, 재미가 없다.
0	히로오는	_	_	B-Experiencer
1	히로오대로,	_	_	I-Experiencer
2	재미가	재미.n	Stimulus_focus	O
3	없다.	_	_	O

#anno-id:11321
#text:(인구연령 구조의 추이)우리 나라의 총 인구는, 쇼와 40년대 전반에 1억명을 넘어서고, 58년에는 1억 1,948만명이 되었다.
0	(인구연령	_	_	O
1	구조의	_	_	O
2	추이)우리	_	_	O
3	나라의	_	_	B-Item
4	총	_	_	I-Item
5	인구는,	_	_	I-Item
6	쇼와	_	_	O
7	40년대	_	_	O
8	전반에	_	_	O
9	1억명을	_	_	O
10	넘어서고,	_	_	O
11	58년에는	_	_	B-Time
12	1억	_	_	B-Final_value
13	1,948만명이	_	_	I-Final_value
14	되었다.	되다.a	Change_position_on_a_scale	O

#anno-id:11322
#text:나는, 이 선로를 탄 것에 대해서는, 동기로서 참 다행이라고 생각한다.
0	나는,	_	_	O
1	이	_	_	B-Evaluee
2	선로를	_	_	I-Evaluee
3	탄	_	_	I-Evaluee
4	것에	_	_	I-Evaluee
5	대해서는,	_	_	I-Evaluee
6	동기로서	_	_	B-Parameter
7	참	_	_	B-Degree
8	다행이라고	다행.n	Desirability	I-Degree
9	생각한다.	_	_	O

#anno-id:11324
#text:나는, 이 선로를 탄 것에 대해서는, 동기로서 참 다행이라고 생각한다.
0	나는,	_	_	O
1	이	_	_	B-Path
2	선로를	_	_	I-Path
3	탄	타다.v	Ride_vehicle	O
4	것에	_	_	O
5	대해서는,	_	_	O
6	동기로서	_	_	O
7	참	_	_	O
8	다행이라고	_	_	O
9	생각한다.	_	_	O

#anno-id:11326
#text:나는, 이 선로를 탄 것에 대해서는, 동기로서 참 다행이라고 생각한다.
0	나는,	_	_	O
1	이	_	_	B-Roadway
2	선로를	선로.n	Roadways	I-Roadway
3	탄	_	_	O
4	것에	_	_	O
5	대해서는,	_	_	O
6	동기로서	_	_	O
7	참	_	_	O
8	다행이라고	_	_	O
9	생각한다.	_	_	O

#anno-id:11331
#text:그 정도로, 강하고 강렬한 「체험」이었다.
0	그	_	_	O
1	정도로,	_	_	O
2	강하고	강하다.a	Degree	O
3	강렬한	_	_	O
4	「체험」이었다.	_	_	B-Gradable_attribute

#anno-id:11332
#text:그 정도로, 강하고 강렬한 「체험」이었다.
0	그	_	_	O
1	정도로,	_	_	O
2	강하고	_	_	O
3	강렬한	강렬하다.a	Degree	O
4	「체험」이었다.	_	_	B-Gradable_attribute

#anno-id:11342
#text:모기떼를 발견하면, 그냥 입을 벌린 채 달리기만 해도, 모기가 저절로 입속에 들어옵니다.
0	모기떼를	_	_	O
1	발견하면,	_	_	O
2	그냥	_	_	O
3	입을	입.n	Body_parts	B-Body_part
4	벌린	_	_	O
5	채	_	_	O
6	달리기만	_	_	O
7	해도,	_	_	O
8	모기가	_	_	O
9	저절로	_	_	O
10	입속에	_	_	O
11	들어옵니다.	_	_	O

#anno-id:11345
#text:제 나이가 어린 것과도 관련이 있을지도 모릅니다.
0	제	_	_	O
1	나이가	_	_	B-Concept_1
2	어린	_	_	I-Concept_1
3	것과도	_	_	I-Concept_1
4	관련이	관련.n	Cognitive_connection	O
5	있을지도	_	_	O
6	모릅니다.	_	_	O

#anno-id:11351
#text:좋게 말하면, 성장이 빠른 나머지, 영업력, 세일즈 노하우의 확립이 제때 이루어지지 못했다고도 생각할 수 있다.
0	좋게	_	_	O
1	말하면,	_	_	O
2	성장이	_	_	B-Opinion
3	빠른	_	_	I-Opinion
4	나머지,	_	_	I-Opinion
5	영업력,	_	_	I-Opinion
6	세일즈	_	_	I-Opinion
7	노하우의	_	_	I-Opinion
8	확립이	_	_	I-Opinion
9	제때	_	_	I-Opinion
10	이루어지지	_	_	I-Opinion
11	못했다고도	_	_	I-Opinion
12	생각할	생각하다.v	Opinion	O
13	수	_	_	O
14	있다.	_	_	O

#anno-id:11358
#text:포켓몬스터 카드 「목사를 내놔라!!」 전화를 받자마자 욕설.
0	포켓몬스터	_	_	O
1	카드	_	_	O
2	「목사를	_	_	B-Message
3	내놔라!!」	_	_	I-Message
4	전화를	_	_	O
5	받자마자	_	_	O
6	욕설.	욕설.n	Communication_noise	O

#anno-id:11378
#text:(이 또한 시크 성능 등과도 관련이 있으므로 엄밀히 말하면 다르다).
0	(이	_	_	O
1	또한	_	_	B-Concept_1
2	시크	_	_	B-Concept_2
3	성능	_	_	I-Concept_2
4	등과도	_	_	I-Concept_2
5	관련이	관련.n	Cognitive_connection	O
6	있으므로	_	_	O
7	엄밀히	_	_	O
8	말하면	_	_	O
9	다르다).	_	_	O

#anno-id:11381
#text:폐에 달라붙는 탄진(젊어서부터 거기서 일한 사람들은 이제 아무렇지도 않지만, 우리 같은 외국인은 탄진 때문에 고생한다).
0	폐에	_	_	B-Stimulus
1	달라붙는	_	_	I-Stimulus
2	탄진(젊어서부터	_	_	I-Stimulus
3	거기서	_	_	O
4	일한	_	_	O
5	사람들은	_	_	O
6	이제	_	_	O
7	아무렇지도	_	_	O
8	않지만,	_	_	O
9	우리	_	_	B-Experiencer
10	같은	_	_	I-Experiencer
11	외국인은	_	_	I-Experiencer
12	탄진	_	_	B-Stimulus
13	때문에	_	_	I-Stimulus
14	고생한다).	고생하다.v	Experiencer_obj	O

#anno-id:11397
#text:그것은, 무엇이든 본부가 관리하는 집권적 관리운영에 대한 반성 때문에, 분권관리와 함께 사업소 독립회계제도가 강조되었습니다.
0	그것은,	_	_	O
1	무엇이든	_	_	O
2	본부가	_	_	O
3	관리하는	_	_	O
4	집권적	_	_	O
5	관리운영에	_	_	O
6	대한	_	_	O
7	반성	_	_	O
8	때문에,	_	_	O
9	분권관리와	_	_	O
10	함께	_	_	O
11	사업소	_	_	B-Consideration
12	독립회계제도가	_	_	I-Consideration
13	강조되었습니다.	강조되다.v	Emphasizing	O

#anno-id:11401
#text:두 개의 사진을 가지고 와서 게시해 두었으니, 봐 주십시오.
0	두	_	_	B-Phenomenon
1	개의	_	_	I-Phenomenon
