#anno-id:11806
#text:여기서 말하는 「육상 다발기」란, 해상이나 호면에서 이착륙할 수 있는 수상기와 달리, 통상적인 활주로를 사용해 이착륙하는 비행기를 가리키는 용어로 이해해주시기 바란다.
0	여기서	_	_	O
1	말하는	_	_	O
2	「육상	_	_	O
3	다발기」란,	_	_	O
4	해상이나	해상.n	Relational_natural_features	B-Focal_feature
5	호면에서	_	_	O
6	이착륙할	_	_	O
7	수	_	_	O
8	있는	_	_	O
9	수상기와	_	_	O
10	달리,	_	_	O
11	통상적인	_	_	O
12	활주로를	_	_	O
13	사용해	_	_	O
14	이착륙하는	_	_	O
15	비행기를	_	_	O
16	가리키는	_	_	O
17	용어로	_	_	O
18	이해해주시기	_	_	O
19	바란다.	_	_	O

#anno-id:11807
#text:여기서 말하는 「육상 다발기」란, 해상이나 호면에서 이착륙할 수 있는 수상기와 달리, 통상적인 활주로를 사용해 이착륙하는 비행기를 가리키는 용어로 이해해주시기 바란다.
0	여기서	_	_	O
1	말하는	말하다.v	Communication	O
2	「육상	_	_	B-Topic
3	다발기」란,	_	_	I-Topic
4	해상이나	_	_	O
5	호면에서	_	_	O
6	이착륙할	_	_	O
7	수	_	_	O
8	있는	_	_	O
9	수상기와	_	_	O
10	달리,	_	_	O
11	통상적인	_	_	O
12	활주로를	_	_	O
13	사용해	_	_	O
14	이착륙하는	_	_	O
15	비행기를	_	_	O
16	가리키는	_	_	O
17	용어로	_	_	O
18	이해해주시기	_	_	O
19	바란다.	_	_	O

#anno-id:11819
#text:「학교는 아이들에게 유익한 곳이며, 또한 필요한 공간이다.
0	「학교는	_	_	B-Locale
1	아이들에게	_	_	O
2	유익한	_	_	O
3	곳이며,	곳.n	Locale	O
4	또한	_	_	O
5	필요한	_	_	O
6	공간이다.	_	_	O

#anno-id:11824
#text:그녀의 허물의 이유를 말할 수도 없고, 그녀의 인품이나 두 사람의 관계를 수상히 여겨, 주저하게 된다면 곤란한 일이다.
0	그녀의	_	_	O
1	허물의	_	_	O
2	이유를	_	_	O
3	말할	_	_	O
4	수도	_	_	O
5	없고,	_	_	O
6	그녀의	_	_	O
7	인품이나	_	_	O
8	두	_	_	B-Concepts
9	사람의	_	_	I-Concepts
10	관계를	관계.n	Cognitive_connection	O
11	수상히	_	_	O
12	여겨,	_	_	O
13	주저하게	_	_	O
14	된다면	_	_	O
15	곤란한	_	_	O
16	일이다.	_	_	O

#anno-id:11829
#text:나는 일어나서, 아무 말 없이 나가려 했다.
0	나는	_	_	B-Theme
1	일어나서,	_	_	O
2	아무	_	_	B-Depictive
3	말	_	_	I-Depictive
4	없이	_	_	I-Depictive
5	나가려	나가다.v	Departing	O
6	했다.	_	_	O

#anno-id:11840
#text:원이 개설되고부터, 명치 원년에 형장이 폐지되기까지, 이백여 년 동안에 매장된 사체는 20여만 구라 합니다.
0	원이	_	_	O
1	개설되고부터,	_	_	O
2	명치	_	_	O
3	원년에	_	_	O
4	형장이	형장.n	Locale_by_use	B-Locale
5	폐지되기까지,	_	_	O
6	이백여	_	_	O
7	년	_	_	O
8	동안에	_	_	O
9	매장된	_	_	O
10	사체는	_	_	O
11	20여만	_	_	O
12	구라	_	_	O
13	합니다.	_	_	O

#anno-id:11848
#text:무엇보다도 전 세계의 건축물을 수없이 봐온 나의 감성을 자극한 것은, 그 디자인 감각의 훌륭함이었습니다.
0	무엇보다도	_	_	O
1	전	_	_	O
2	세계의	_	_	O
3	건축물을	_	_	O
4	수없이	_	_	O
5	봐온	_	_	O
6	나의	_	_	O
7	감성을	_	_	O
8	자극한	_	_	O
9	것은,	_	_	O
10	그	_	_	O
11	디자인	디자인.n	Intentionally_create	O
12	감각의	_	_	O
13	훌륭함이었습니다.	_	_	O

#anno-id:11859
#text:왜냐하면, 어느 기업이든 변하기 힘든 내부 사정이나 조직의 특성이 있어, 꽤 규모가 작은 오너 기업이 아닌 한, 전사가 하나가 되어 일에 착수하여, 성과를 내기까지는, 시간과 끈기가 상당히 필요하기 때문이다.
0	왜냐하면,	_	_	O
1	어느	_	_	O
2	기업이든	_	_	O
3	변하기	_	_	O
