#anno-id:3023
#text:본전의 조각상들은 사람, 문학의 신, 그리고 신비롭게 병렬로 놓은 전쟁의 신인 Mo를 나타낸다.
0	본전의	본전.n	Importance	B-Factor
1	조각상들은	_	_	O
2	사람,	_	_	O
3	문학의	_	_	O
4	신,	_	_	O
5	그리고	_	_	O
6	신비롭게	_	_	O
7	병렬로	_	_	O
8	놓은	_	_	O
9	전쟁의	_	_	O
10	신인	_	_	O
11	Mo를	_	_	O
12	나타낸다.	_	_	O

#anno-id:3036
#text:옛 실험실은 아직도 온전하고, 홍콩의 중국 약리학과 의학 역사에 관한 전시실이 있다.
0	옛	_	_	B-Descriptor
1	실험실은	실험실.n	Locale_by_use	O
2	아직도	_	_	O
3	온전하고,	_	_	O
4	홍콩의	_	_	O
5	중국	_	_	O
6	약리학과	_	_	O
7	의학	_	_	O
8	역사에	_	_	O
9	관한	_	_	O
10	전시실이	_	_	O
11	있다.	_	_	O

#anno-id:3041
#text:컨벤션 센터 바로 서쪽에 인접하여 또 하나의 현대적인 하이라이트인 Gloucester Road의 공연 예술 아카데미가 있다.
0	컨벤션	_	_	B-Whole
1	센터	_	_	I-Whole
2	바로	_	_	O
3	서쪽에	서쪽.n	Part_orientational	O
4	인접하여	_	_	O
5	또	_	_	O
6	하나의	_	_	O
7	현대적인	_	_	O
8	하이라이트인	_	_	O
9	Gloucester	_	_	O
10	Road의	_	_	O
11	공연	_	_	O
12	예술	_	_	O
13	아카데미가	_	_	O
14	있다.	_	_	O

#anno-id:3043
#text:8월 마다 젊은 여성들이 선향을 피우기 위해 모이고 일부는 심지어 좋은 남편을 위한 기도를 위해 9 미터 ( 30 피트 ) 를 오른다.
0	8월	_	_	O
1	마다	_	_	O
2	젊은	_	_	O
3	여성들이	_	_	O
4	선향을	_	_	O
5	피우기	_	_	O
6	위해	_	_	O
7	모이고	_	_	O
8	일부는	_	_	O
9	심지어	_	_	O
10	좋은	_	_	B-Desired_state_of_affairs
11	남편을	_	_	I-Desired_state_of_affairs
12	위한	_	_	I-Desired_state_of_affairs
13	기도를	기도.n	Rite	O
14	위해	_	_	O
15	9	_	_	O
16	미터	_	_	O
17	(	_	_	O
18	30	_	_	O
19	피트	_	_	O
20	)	_	_	O
21	를	_	_	O
22	오른다.	_	_	O

#anno-id:3045
#text:8월 마다 젊은 여성들이 선향을 피우기 위해 모이고 일부는 심지어 좋은 남편을 위한 기도를 위해 9 미터 ( 30 피트 ) 를 오른다.
0	8월	_	_	O
1	마다	_	_	O
2	젊은	_	_	B-Age
3	여성들이	여성.n	People	O
4	선향을	_	_	O
5	피우기	_	_	O
6	위해	_	_	O
7	모이고	_	_	O
8	일부는	_	_	O
9	심지어	_	_	O
10	좋은	_	_	O
11	남편을	_	_	O
12	위한	_	_	O
13	기도를	_	_	O
14	위해	_	_	O
15	9	_	_	O
16	미터	_	_	O
17	(	_	_	O
18	30	_	_	O
19	피트	_	_	O
20	)	_	_	O
21	를	_	_	O
22	오른다.	_	_	O

#anno-id:3055
